t	xg	yg	zg	Vxg	Vyg	Vzg	wx	wy	wz	pitch	yaw	roll	alpha	betta	delta_p	delta_y	delta_r
0.00	0.00	37400.00	0.00	4023.94	-3601.10	0.00	0.500000	0.500000	0.500000	-41.8259	0.0000	0.0000	0.000000	0.000000	0.0000	0.0000	0.0000
0.50	2011.81	35599.77	-1.05	4023.40	-3599.35	-4.71	-0.000407	0.009458	-0.001356	-39.3812	3.3833	2.6838	2.364003	2.584470	7.0583	7.7130	-3.1079
1.00	4023.35	33801.00	-5.05	4022.70	-3595.33	-11.70	-0.000404	0.008524	-0.001272	-39.4053	3.7210	2.8866	2.301993	2.768791	6.5416	7.8634	-3.2672
1.50	6034.44	32004.89	-13.22	4021.58	-3588.58	-21.49	-0.000400	0.006575	-0.001667	-39.4346	4.0072	3.0568	2.217312	2.882961	5.9643	7.7487	-3.3474
2.00	8044.82	30212.98	-27.10	4019.77	-3578.48	-34.65	-0.000395	0.003040	-0.002804	-39.4893	4.1948	3.1646	2.089137	2.883187	5.4229	7.4767	-3.2926
2.50	10054.03	28427.07	-48.47	4016.79	-3564.48	-51.39	-0.000389	-0.002398	-0.004746	-39.5943	4.2208	3.1699	1.894477	2.717018	4.6787	6.7017	-3.0467
3.00	12061.28	26649.21	-79.00	4011.79	-3546.23	-71.14	-0.000381	-0.010029	-0.007692	-39.7789	4.0090	3.0236	1.609836	2.330429	3.7230	5.3808	-2.5435
3.50	14065.24	24881.53	-119.74	4003.28	-3523.87	-91.59	-0.000370	-0.019496	-0.011701	-40.0749	3.4801	2.6733	1.216383	1.687032	2.5872	3.5799	-1.7398
4.00	16063.56	23125.86	-169.91	3988.72	-3498.42	-107.83	-0.000357	-0.029059	-0.016371	-40.5051	2.5866	2.0851	0.713534	0.807024	1.3730	1.5440	-0.6726
4.50	18052.27	21383.32	-225.58	3963.98	-3471.72	-112.14	-0.000340	-0.034880	-0.020260	-41.0618	1.3782	1.2857	0.143665	-0.179116	0.2426	-0.3317	0.4516
5.00	20024.92	19654.04	-278.69	3923.52	-3445.54	-96.52	-0.000319	-0.031322	-0.020311	-41.6715	0.0876	0.4234	-0.376361	-0.995999	-0.7149	-1.8812	1.1847
5.50	21972.44	17937.77	-318.53	3863.09	-3419.13	-59.97	-0.000294	-0.014725	-0.013091	-42.1706	-0.8386	-0.2040	-0.654387	-1.291553	-1.3565	-2.6719	0.9878
6.00	23884.88	16236.03	-337.49	3784.15	-3385.67	-16.91	-0.000265	0.010401	0.000667	-42.3575	-0.9318	-0.2746	-0.536975	-0.882653	-1.1423	-1.8731	-0.2534
6.50	25754.89	14555.57	-339.08	3694.98	-3331.40	4.59	-0.000231	0.028174	0.012893	-42.1457	-0.1269	0.2596	-0.107691	-0.041843	0.0995	15.0000	-1.2536
7.00	27579.25	12910.35	-339.60	3601.56	-3243.37	-12.43	-0.000195	0.029581	0.016905	-41.7295	0.8617	0.9144	0.268885	0.497716	-4.7632	-13.6378	-2.3034
7.50	29354.49	11317.44	-353.87	3495.90	-3124.49	-42.76	-0.000157	-0.018947	-0.011164	-41.5142	1.0859	1.0584	0.267993	0.292154	1.1093	2.3287	-0.7120
8.00	31070.38	9787.74	-377.45	3362.59	-2993.94	-45.86	-0.000121	-0.012544	-0.006788	-41.6406	0.6224	0.7469	0.039150	-0.118301	15.0000	15.0000	0.5661
8.50	32712.68	8324.08	-396.54	3203.27	-2859.24	-30.66	-0.000090	0.014468	0.011007	-41.7893	0.4019	0.5972	-0.037355	-0.109698	-15.0000	-15.0000	-1.3640
9.00	34271.60	6930.87	-410.38	3031.15	-2710.77	-27.27	-0.000064	-0.008843	-0.010944	-41.7695	0.5787	0.7129	0.035239	0.047544	0.4416	0.6374	-0.9334
9.50	35742.77	5615.62	-424.78	2852.29	-2548.68	-29.67	-0.000044	-0.001924	0.000333	-41.7237	0.6144	0.7352	0.057042	0.014555	15.0000	15.0000	-0.0087
10.00	37122.65	4382.97	-439.01	2666.11	-2381.51	-26.73	-0.000030	0.011338	0.011031	-41.7388	0.5521	0.6926	0.032877	-0.016217	-15.0000	-15.0000	-1.2725
10.50	38408.32	3234.36	-451.74	2476.48	-2212.66	-24.62	-0.000020	-0.009926	-0.009601	-41.7384	0.5802	0.7106	0.039968	0.008380	0.2696	0.1781	-0.7360
11.00	39599.39	2170.30	-463.69	2288.13	-2043.91	-22.98	-0.000013	-0.000371	-0.000216	-41.7285	0.5703	0.7036	0.043359	-0.003237	1.5314	15.0000	-0.2155
11.50	40697.03	1189.79	-474.66	2103.21	-1878.84	-21.04	-0.000008	0.007994	0.000855	-41.7275	0.5767	0.7075	0.046103	0.003207	-0.2464	-14.9857	-1.1148
12.00	41703.66	290.60	-484.74	1924.41	-1718.97	-19.22	-0.000005	-0.000103	-0.000257	-41.7231	0.5699	0.7028	0.048108	-0.001158	0.3429	-0.0063	-0.7167
12.17	42028.98	0.00	-487.99	1864.60	-1665.66	-18.59	-0.000004	-0.000009	-0.000404	-41.7261	0.5691	0.7023	0.047097	-0.000929	0.3429	-0.0063	-0.7167
