t, [c]	Xg, [м]	Yg, [м]	Zg, [м]	thet, [град]	psi, [град]	gamma, [град]	alpha, [град]	betta, [град]	Vxg, [м/c]	Vyg, [м/c]	Vzg, [м/c]	dv, [град]	dn, [град]	de, [град]	wx, [рад/c]	wy, [рад/c]	wz, [рад/c]	rho, [-]	ly, [-]	mu, [-]	nu, [-]	fi, [град]	hi, [град]	hmax, [м]
0.00000	0.00000	37400.00000	0.00000	-41.82592	0.00000	0.00000	0.00000	0.00000	4023.94177	-3601.09603	0.00000	0.00000	0.00000	0.00000	0.50000	0.50000	0.50000	0.93412	0.00000	0.00000	-0.35695	-41.66274	0.66523	56262.19854
0.50000	2011.81360	35599.76709	-1.05199	-39.38123	3.38333	2.68385	2.36400	2.58447	4023.39730	-3599.34569	-4.70860	7.05830	7.71300	-3.10789	-0.00041	0.00946	-0.00136	0.94109	0.01210	0.01990	-0.33735	-41.65457	0.69717	53562.63383
1.00000	4023.35138	33800.99934	-5.05322	-39.40527	3.72103	2.88656	2.30199	2.76879	4022.69975	-3595.32726	-11.70226	6.54163	7.86343	-3.26720	-0.00040	0.00852	-0.00127	0.94094	0.01276	0.02207	-0.33762	-41.64657	0.72803	50864.23224
1.50000	6034.44437	32004.89379	-13.21860	-39.43460	4.00721	3.05676	2.21731	2.88296	4021.58375	-3588.57775	-21.48833	5.96428	7.74875	-3.34743	-0.00040	0.00657	-0.00167	0.94077	0.01330	0.02391	-0.33793	-41.63972	0.75571	48167.90092
2.00000	8044.82077	30212.97890	-27.10375	-39.48929	4.19477	3.16456	2.08914	2.88319	4019.77411	-3578.47751	-34.64675	5.42293	7.47669	-3.29257	-0.00040	0.00304	-0.00280	0.94056	0.01361	0.02511	-0.33842	-41.63546	0.77700	45474.83873
2.50000	10054.02503	28427.06528	-48.46647	-39.59429	4.22083	3.16989	1.89448	2.71702	4016.79065	-3564.48334	-51.39355	4.67872	6.70165	-3.04665	-0.00039	-0.00240	-0.00475	0.94024	0.01354	0.02527	-0.33929	-41.63572	0.78755	42786.56628
3.00000	12061.27868	26649.20743	-79.00446	-39.77894	4.00900	3.02356	1.60984	2.33043	4011.78782	-3546.22578	-71.13839	3.72304	5.38076	-2.54347	-0.00038	-0.01003	-0.00769	0.93976	0.01290	0.02391	-0.34075	-41.64288	0.78192	40105.01035
3.50000	14065.23563	24881.52581	-119.73611	-40.07486	3.48013	2.67332	1.21638	1.68703	4003.28241	-3523.86732	-91.59254	2.58724	3.57986	-1.73976	-0.00037	-0.01950	-0.01170	0.93902	0.01150	0.02053	-0.34305	-41.65950	0.75450	37432.58023
4.00000	16063.56140	23125.85858	-169.90988	-40.50514	2.58664	2.08508	0.71353	0.80702	3988.71806	-3498.41552	-107.83175	1.37301	1.54405	-0.67256	-0.00036	-0.02906	-0.01637	0.93792	0.00925	0.01488	-0.34640	-41.68740	0.70187	34772.26651
4.50000	18052.26860	21383.31526	-225.58329	-41.06175	1.37817	1.28571	0.14367	-0.17912	3963.97525	-3471.72167	-112.13994	0.24258	-0.33165	0.45164	-0.00034	-0.03488	-0.02026	0.93640	0.00629	0.00733	-0.35079	-41.72603	0.62706	32127.84902
5.00000	20024.91782	19654.03623	-278.69341	-41.67146	0.08757	0.42339	-0.37636	-0.99600	3923.52361	-3445.53854	-96.52242	-0.71492	-1.88123	1.18467	-0.00032	-0.03132	-0.02031	0.93460	0.00318	-0.00060	-0.35569	-41.76993	0.54499	29504.31463
5.50000	21972.43502	17937.77383	-318.52743	-42.17062	-0.83858	-0.20405	-0.65439	-1.29155	3863.08741	-3419.13321	-59.96607	-1.35651	-2.67189	0.98779	-0.00029	-0.01473	-0.01309	0.93302	0.00097	-0.00619	-0.35976	-41.80713	0.48412	26908.33049
6.00000	23884.88094	16236.03311	-337.48642	-42.35750	-0.93185	-0.27463	-0.53698	-0.88265	3784.14533	-3385.66649	-16.90707	-1.14231	-1.87312	-0.25344	-0.00026	0.01040	0.00067	0.93243	0.00070	-0.00672	-0.36128	-41.82238	0.47528	24348.31579
6.50000	25754.89411	14555.56617	-339.07765	-42.14572	-0.12693	0.25962	-0.10769	-0.04184	3694.97906	-3331.39700	4.59464	0.09952	15.00000	-1.25360	-0.00023	0.02817	0.01289	0.93312	0.00251	-0.00185	-0.35955	-41.80827	0.52429	21834.22101
7.00000	27579.24978	12910.35428	-339.60435	-41.72946	0.86173	0.91444	0.26889	0.49772	3601.55532	-3243.36830	-12.43293	-4.76319	-13.63785	-2.30335	-0.00019	0.02958	0.01691	0.93439	0.00478	0.00418	-0.35620	-41.77819	0.58839	19377.68176
7.50000	29354.49389	11317.44382	-353.86511	-41.51418	1.08589	1.05843	0.26799	0.29215	3495.89873	-3124.48775	-42.75988	1.10935	2.32873	-0.71198	-0.00016	-0.01895	-0.01116	0.93504	0.00528	0.00559	-0.35446	-41.76102	0.60634	16992.51694
8.00000	31070.37822	9787.74412	-377.44805	-41.64064	0.62238	0.74693	0.03915	-0.11830	3362.59276	-2993.93782	-45.86447	15.00000	15.00000	0.56608	-0.00012	-0.01254	-0.00679	0.93468	0.00416	0.00276	-0.35546	-41.76833	0.57799	14693.65673
8.50000	32712.68065	8324.07686	-396.53994	-41.78935	0.40188	0.59725	-0.03735	-0.10970	3203.27227	-2859.23704	-30.65994	-15.00000	-15.00000	-1.36403	-0.00009	0.01447	0.01101	0.93423	0.00362	0.00142	-0.35666	-41.77923	0.56247	12493.69548
9.00000	34271.59860	6930.87082	-410.38016	-41.76946	0.57870	0.71289	0.03524	0.04754	3031.14677	-2710.76938	-27.27306	0.44165	0.63741	-0.93341	-0.00006	-0.00884	-0.01094	0.93428	0.00401	0.00250	-0.35651	-41.77785	0.57328	10402.89727
9.50000	35742.76704	5615.61797	-424.78172	-41.72374	0.61445	0.73516	0.05704	0.01455	2852.29217	-2548.67620	-29.66675	15.00000	15.00000	-0.00869	-0.00004	-0.00192	0.00033	0.93442	0.00409	0.00273	-0.35614	-41.77361	0.57618	8429.46538
10.00000	37122.64604	4382.97322	-439.00846	-41.73881	0.55210	0.69261	0.03288	-0.01622	2666.11420	-2381.51470	-26.72817	-15.00000	-15.00000	-1.27251	-0.00003	0.01134	0.01103	0.93438	0.00393	0.00235	-0.35626	-41.77382	0.57210	6579.14612
10.50000	38408.32355	3234.36477	-451.73759	-41.73843	0.58023	0.71064	0.03997	0.00838	2476.47829	-2212.66467	-24.62303	0.26955	0.17812	-0.73604	-0.00002	-0.00993	-0.00960	0.93438	0.00399	0.00252	-0.35625	-41.77312	0.57382	4855.07244
11.00000	39599.38644	2170.30064	-463.68957	-41.72854	0.57033	0.70359	0.04336	-0.00324	2288.13375	-2043.90937	-22.97886	1.53137	15.00000	-0.21553	-0.00001	-0.00037	-0.00022	0.93441	0.00396	0.00246	-0.35617	-41.77203	0.57328	3257.88550
11.50000	40697.02508	1189.79374	-474.66347	-41.72745	0.57668	0.70753	0.04610	0.00321	2103.20846	-1878.83586	-21.03947	-0.24643	-14.98570	-1.11481	-0.00001	0.00799	0.00085	0.93441	0.00398	0.00250	-0.35616	-41.77157	0.57366	1786.04149
12.00000	41703.66035	290.60281	-484.74179	-41.72312	0.56986	0.70281	0.04811	-0.00116	1924.40818	-1718.96630	-19.21943	0.34287	-0.00627	-0.71671	-0.00001	-0.00010	-0.00026	0.93443	0.00396	0.00246	-0.35613	-41.77073	0.57379	436.24133
12.17173	42028.98480	0.00008	-487.98779	-41.72609	0.56910	0.70226	0.04710	-0.00093	1864.59890	-1665.65619	-18.58683	0.34287	-0.00627	-0.71671	-0.00000	-0.00001	-0.00040	0.93442	0.00396	0.00246	-0.35615	-0.24966	38.77365	0.01950
